judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Rangkum;Polka Wars;Indie Rock Indonesia;4j9AWlGmYrQwjxvmObIzXm;['indonesian indie'];Tersingkap bila Menatap cah'ya Di dalam bahaya terjamah  Bersila diam Menuju terang Deras bulir meresapi lara  Malam musim semi Raja alam rasa Berakhir di sana Kata rangkumkan udara ...
Laki-Laki Pemalu;Efek Rumah Kaca;Indie Rock Indonesia;5WUdbehFIiTDyw1vFCljNz;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Senja akan segera berlalu Seorang lelaki melintas menyimpan malu, huuu Menyusur langkah sang gadis yang mungil Tapak kakinya yang lelah menyisakan perih, hiii  Nanti malam 'kan ia jerat rembulan Disimpan dalam sunyi hingga esok hari Lelah berpura-pura, bersandiwara Esok pagi 'kan seperti hari ini ...
Masa-Masa;The Adams;Indie Rock Indonesia;3da9tjhBqR14I04nHHGnje;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Kau selalu ada Untuk tertawa Tak pernah lupa Dan meskipun salah Ikuti saja Karena muda Jiwa remaja  Seiya sekata bersama-sama Seiya sekata hadapi duka Seiya sekata canda tawa Masa lalu dan sekarang 'Kan kita kenang di masa yang datang ...
Another Day;The SIGIT;Indie Rock Indonesia;06CTBs4mTFwJzlrmAvU6d0;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];These things are beautiful Don't think they're reachable Another day, another sunset Confession won't make it right All the things we do at night Another day, another mindset ...
Barat;Barasuara;Indie Rock Indonesia;52E1hEuxwAfJIUGOpYmwyV;['indonesian indie', 'indonesian indie rock'];Kami menuju barat Maut kian melambat Merah melesat (Melantakkan angkasa) Merah merona  Hey ya-ya Hey ya-ya ...
Menenggala;Mooner;Indie Rock Indonesia;12ljrhiUlBUW8xi8k7sWid;['indonesian indie', 'indonesian indie rock', 'indonesian psychedelia', 'indonesian stoner rock'];Lalalala, menenggala Demi gala, demi hala Lalalala, menenggala Demi sara, demi laba  Pulang disambut solang Tura bikin merayang Walau sudah berkanjang Rodi jadinya rawang  Jejabah usang Sudah jadi abu arang ...
Roda Gila;Kelompok Penerbang Roket;Indie Rock Indonesia;3V0yduUwPTwpNTDskCSPh2;['indonesian indie', 'indonesian indie rock', 'indonesian rock'];Kehidupan Di dunia Banyak cara terlupa Kita manusia yang punya akal pikiran  Jangan gentar Bernyali besar  Roda kencang melaju berani Melesat gila kejar cahaya ...
Mati Muda;Kelompok Penerbang Roket;Indie Rock Indonesia;3zMJiWwtg4LIXXSZ53uKAM;['indonesian indie', 'indonesian indie rock', 'indonesian rock'];Berseragam berlaga jagoan Mau jadi apa? Seperti tentara kau menyerang Dan akhirnya celaka  Mati muda ...
Fatamorgana;Polka Wars;Indie Rock Indonesia;15cki3Uuq7qYnEmilHyIHs;['indonesian indie'];Terbelah jalan, hampa tujuan Berdagang asa, reka citranya Halau cahaya Nyatanya semu, angan tersapu Alasan tak dapat belenggu Hina adanya  Ayat amunisi Jaja ilusi  Berjanji, hindari Nyata tipu dayanya Fatamorgana! Fatamorgana! ...
Kau dan Aku Menuju Ruang Hampa;Efek Rumah Kaca;Indie Rock Indonesia;0H3I8PJh0mbJ5tSRleYywg;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Akan ke manakah aku dibawanya? Hingga saat ini menimbulkan tanya Engkau dan aku menuju ruang hampa Tak ada sesiapa hanya kita berdua  Kau belah dadaku mengganti isinya Dihisap pikiranku memori terhapus Terkunci mulutku menjeritkan pahit  Engkau dan aku menuju ruang hampa Tak ada sesiapa hanya kita berdua  Kau belah dadaku mengganti isinya ...
