uri,artis_judulLagu,Label
4j9AWlGmYrQwjxvmObIzXm,Polka Wars - Rangkum,tersingkap bila menatap cah'ya di dalam bahaya terjamah bersila diam menuju terang dera bulir meresapi lara malam musim semi raja alam rasa berakhir di sana kata rangkumkan udara ... polkawar indonesianindi
5WUdbehFIiTDyw1vFCljNz,Efek Rumah Kaca - Laki-Laki Pemalu,"senja akan segera berlalu seorang lelaki melinta menyimpan malu, huuu menyusur langkah sang gadi yang mungil tapak kakinya yang lelah menyisakan perih, hiii nanti malam 'kan ia jerat rembulan disimpan dalam sunyi hingga esok hari lelah berpura-pura, bersandiwara esok pagi 'kan seperti hari ini ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock"
3da9tjhBqR14I04nHHGnje,The Adams - Masa-Masa,kau selalu ada untuk tertawa tak pernah lupa dan meskipun salah ikuti saja karena muda jiwa remaja seiya sekata bersama-sama seiya sekata hadapi duka seiya sekata canda tawa masa lalu dan sekarang 'kan kita kenang di masa yang datang ... theadam indonesianalternativerock indonesianindi indonesianindierock
06CTBs4mTFwJzlrmAvU6d0,The SIGIT - Another Day,"these thing are beauti don't think they'r reachabl anoth day, anoth sunset confess won't make it right all the thing we do at night anoth day, anoth mindset ... thesigit indonesianalternativerock indonesianindi indonesianrock"
52E1hEuxwAfJIUGOpYmwyV,Barasuara - Barat,kami menuju barat maut kian melambat merah melesat (melantakkan angkasa) merah merona hey ya-ya hey ya-ya ... barasuara indonesianindi indonesianindierock
12ljrhiUlBUW8xi8k7sWid,Mooner - Menenggala,"lalalala, menenggala demi gala, demi hala lalalala, menenggala demi sara, demi laba pulang disambut solang tura bikin merayang walau sudah berkanjang rodi jadinya rawang jejabah usang sudah jadi abu arang ... mooner indonesianindi indonesianindierock indonesianpsychedelia indonesianstonerrock"
3V0yduUwPTwpNTDskCSPh2,Kelompok Penerbang Roket - Roda Gila,kehidupan di dunia banyak cara terlupa kita manusia yang punya akal pikiran jangan gentar bernyali besar roda kencang melaju berani melesat gila kejar cahaya ... kelompokpenerbangroket indonesianindi indonesianindierock indonesianrock
3zMJiWwtg4LIXXSZ53uKAM,Kelompok Penerbang Roket - Mati Muda,berseragam berlaga jagoan mau jadi apa? seperti tentara kau menyerang dan akhirnya celaka mati muda ... kelompokpenerbangroket indonesianindi indonesianindierock indonesianrock
15cki3Uuq7qYnEmilHyIHs,Polka Wars - Fatamorgana,"terbelah jalan, hampa tujuan berdagang asa, reka citranya halau cahaya nyatanya semu, angan tersapu alasan tak dapat belenggu hina adanya ayat amunisi jaja ilusi berjanji, hindari nyata tipu dayanya fatamorgana! fatamorgana! ... polkawar indonesianindi"
0H3I8PJh0mbJ5tSRleYywg,Efek Rumah Kaca - Kau dan Aku Menuju Ruang Hampa,akan ke manakah aku dibawanya? hingga saat ini menimbulkan tanya engkau dan aku menuju ruang hampa tak ada sesiapa hanya kita berdua kau belah dadaku mengganti isinya dihisap pikiranku memori terhapu terkunci mulutku menjeritkan pahit engkau dan aku menuju ruang hampa tak ada sesiapa hanya kita berdua kau belah dadaku mengganti isinya ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock
1jwaf6CWAWUrbqAT5mrKrA,Efek Rumah Kaca - Cinta Melulu,nada-nada yang minor lagu perselingkuhan ata nama pasar semuanya begitu klise elegi patah hati ode pengusir rindu ata nama pasar semuanya begitu banal oh-oh lagu cinta melulu ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock
02jNAnlofnyylX3k8ijYCB,The Adams - Just,"once.i feel empty, you show your face to me once.i feel thirsty, but you alwasi be there for me don't care what peopl say. i just gonna do my way ... theadam indonesianalternativerock indonesianindi indonesianindierock"
6n1qZ0NjagTsByL2hzWFj9,Bangkutaman - Badai,"desir-desir angin yang dingin menghantarkan bait kesunyian di ujung sore berkabut menghembuskan melodi yang sendu oh, kabut malam, samar-samarkan bayanganmu bersama kilat gemuruh, mari lagukan sisa waktu ... bangkutaman indonesianfolk indonesianindi yogyakartaindi"
6ty0s6bs6lnzC7e1Of2ec6,Jirapah - Bekerja,terasa muda sesaat ada rasa yang tertunda selalu ku menunggu selamanya menuai dalam saatnya tak pernah berhenti yang pasti tidur di saat terjaga bahagia ku menunggu selamanya menuai dalam saatnya mengejar ... jirapah indonesianindi indonesianindierock indonesianshoegaz
4JL1gr2HN41wIc2oWe9tjh,Monkey to Millionaire - Sloth,"one of these days, she'll hate me even more the truth is i'v never seen an open door so how could i come back? nah just wanna come back there were times, when there' onli nice thing to say time how love keep crack up my head when i still tri to stand (stein), and i still here to stay ration have been gone away for so long logic tri to follow behind all along and they never come back and they never come back caus what' mine... ha never felt as one of my own when you came along when you came along caus what' mine... ha never felt as one of my own when you came along when you came along when the truth is alway ask me to open your heart break denial and make it apart ... monkeytomillionair indonesianindi"
5FF5770PyTMzygAAetVzss,Anomalyst - Kaca,roda yang teru berputar melingkar dan berjalan tak sekalipun berhenti untuk menghela nafa lelah di gegap gempita tersesak dalam ruang semua yang disekitarnya teru membakar raga ... anomalyst indonesianindierock
1gapJiMx5ZOmFB0mNdIhSQ,Efek Rumah Kaca - Merah,"dan kita arak mereka, bandit jadi panglima politik terlalu amis, dan kita teramat neci slalu angkat mereka, sampah jadi pemuka politik terlalu najis, dan kita teramat miri dan kita dorong mereka, badut jadi kepala politik terlalu kaotis, dan kita teramat prakti slalu dukung mereka, cendikia jadi pertapa politik terlalu iblis, dan kita teramat mani aku akan menjadi garam di lautan mereka aku akan menjadi kanker dalam tubuh mereka aaahhh... aaahhh... sampai kapan kau biarkan, ia tak berdaya ditelantarkan harapan, ia kesakitan berurai berantakan, tak karuan lara dimana-mana ... efekrumahkaca indonesianalternativerock indonesianindi indonesianindierock"
6FXwGkCBw2TcUeSciRQ4H6,Mond - 20's,crazi as it seem crazi as you and me we'r live in our twenti i can't handl thing alon we cut tie to loosen up we put tie to build up thought he wa a child with just a few problem someth green can hide for a while thought he wa a child with just a few problem someth green can hide ... mond indonesianneo-psychedelia
5dFLCZFECZMRYICtN31BMg,Reality Club - Is It The Answer,i make you break you move i take love is the answer so they say but if i went away what would you say would it be enough to make you stay as you look to the exit i don't even know whi i'd do thi anymor i know there' thing i should know and i know you can't accept she' the love that i kept scare i'll push you away ... realityclub indonesianindi
1ZJaJPoS4gDiEJetz3glPt,Grrrl Gang - Thrills,"it wa a hot summer night when we first met i wa onli seventeen your name wa robin and that' all i know i wa danc on my own in the middl of the room when i turn around and you caught my eye there wa noth els that i could realli do but one thing for sure is that i wouldn't be alon you took me to your room and you said that i wa your i call you, ""daddy"" with your arm wrap around my neck ... grrrlgang indonesianindi indonesianindierock yogyakartaindi"
